Overview
| Item    | Value                      |
|---------|----------------------------|
| Daemon  | running                    |
| Socket  | /tmp/ouroboros-daemon.sock |
| Workers | 2                          |
| Senses  | 6                          |
| Health  | ok                         |

Senses
| Agent     | Sense       | Enabled | State       | Detail                      |
|-----------|-------------|---------|-------------|-----------------------------|
| ouroboros | CLI         | ON      | interactive | local interactive terminal  |
| ouroboros | Teams       | OFF     | disabled    | not enabled in agent.json   |
| ouroboros | BlueBubbles | OFF     | disabled    | not enabled in agent.json   |
| slugger   | CLI         | ON      | interactive | local interactive terminal  |
| slugger   | Teams       | OFF     | disabled    | not enabled in agent.json   |
| slugger   | BlueBubbles | ON      | running     | :18790 /bluebubbles-webhook |

Workers
| Agent     | Worker       | State   | PID   | Restarts |
|-----------|--------------|---------|-------|----------|
| ouroboros | inner-dialog | running | 18279 | 0        |
| slugger   | inner-dialog | running | 18291 | 0        |
